Date,Price,Open,High,Low
15-Dec-23,41.929,43.0252,43.0807,41.6979
14-Dec-23,43.0259,42.8863,43.3927,41.5912
13-Dec-23,42.8845,41.487,43.4175,40.6493
12-Dec-23,41.487,41.2561,42.0709,40.6915
11-Dec-23,41.2561,43.791,43.8063,40.2771
10-Dec-23,43.791,43.7166,44.0454,43.5768
09-Dec-23,43.7184,44.1755,44.3612,43.6174
08-Dec-23,44.1755,43.2883,44.6976,43.1084
07-Dec-23,43.2897,43.7744,44.0464,42.8605
06-Dec-23,43.7763,44.0762,44.2837,43.4667
05-Dec-23,44.0762,41.9896,44.4241,41.4249
04-Dec-23,41.9878,39.9686,42.3944,39.9686
03-Dec-23,39.9702,39.4568,40.1789,39.2803
02-Dec-23,39.4584,38.6882,39.6734,38.6465
01-Dec-23,38.6882,37.7129,38.9508,37.6183
30-Nov-23,37.7129,37.8576,38.1444,37.5092
29-Nov-23,37.8555,37.8233,38.3629,37.6076
28-Nov-23,37.8233,37.2443,38.3794,36.8811
27-Nov-23,37.2486,37.4518,37.5633,36.7515
26-Nov-23,37.4518,37.7864,37.8191,37.1663
25-Nov-23,37.787,37.7186,37.8874,37.5999
24-Nov-23,37.7173,37.295,38.4008,37.2574
23-Nov-23,37.2931,37.4108,37.6425,36.9153
22-Nov-23,37.4108,35.7975,37.8625,35.6956
21-Nov-23,35.8136,37.4527,37.6312,35.7992
20-Nov-23,37.4541,37.3566,37.7356,36.8576
19-Nov-23,37.3542,36.5686,37.5046,36.3933
18-Nov-23,36.5686,36.6175,36.8452,36.2206
17-Nov-23,36.5954,36.1618,36.6906,35.8752
16-Nov-23,36.1612,37.8739,37.9076,35.5616
15-Nov-23,37.8749,35.5493,37.9541,35.3796
14-Nov-23,35.5493,36.4783,36.7445,34.9843
13-Nov-23,36.4783,37.0678,37.4046,36.3584
12-Nov-23,37.0644,37.149,37.2153,36.7619
11-Nov-23,37.1505,37.3063,37.4013,36.7676
10-Nov-23,37.303,36.7005,37.4961,36.3472
09-Nov-23,36.7005,35.6369,37.942,35.5781
08-Nov-23,35.6369,35.4262,36.0502,35.1488
07-Nov-23,35.4261,35.0421,35.8779,34.5369
06-Nov-23,35.042,35.0203,35.2756,34.7429
05-Nov-23,35.0194,35.0658,35.3602,34.55
04-Nov-23,35.0658,34.7186,35.2422,34.6011
03-Nov-23,34.7187,34.9314,34.9406,34.1242
02-Nov-23,34.9314,35.4238,35.9076,34.3574
01-Nov-23,35.4238,34.6483,35.5575,34.1387
31-Oct-23,34.6506,34.4789,34.7046,34.0539
30-Oct-23,34.4779,34.5267,34.8533,34.0895
29-Oct-23,34.5267,34.0826,34.7379,33.9376
28-Oct-23,34.0826,33.9016,34.3878,33.8673
27-Oct-23,33.9018,34.1537,34.2458,33.4236
26-Oct-23,34.1537,34.4976,34.826,33.7499
25-Oct-23,34.4968,33.917,35.1239,33.7134
24-Oct-23,33.917,33.0373,35.1914,32.8665
23-Oct-23,33.0418,29.9842,34.3756,29.8914
22-Oct-23,29.9842,29.9127,30.1934,29.7136
21-Oct-23,29.9129,29.6747,30.2648,29.4691
20-Oct-23,29.6745,28.724,30.1659,28.5861
19-Oct-23,28.723,28.3218,28.8838,28.1702
18-Oct-23,28.3217,28.4052,28.876,28.169
17-Oct-23,28.4036,28.5083,28.6085,28.0969
16-Oct-23,28.5097,27.1612,29.9695,27.1197
15-Oct-23,27.1612,26.8528,27.2869,26.8126
14-Oct-23,26.8528,26.8635,26.9757,26.8051
13-Oct-23,26.8635,26.7611,27.1148,26.6829
12-Oct-23,26.7611,26.8782,26.9428,26.5653
11-Oct-23,26.8766,27.3919,27.4759,26.5584
10-Oct-23,27.391,27.5815,27.7281,27.3001
09-Oct-23,27.5814,27.9227,27.9864,27.2795
08-Oct-23,27.9227,27.9611,28.0975,27.7144
07-Oct-23,27.9611,27.9355,28.0213,27.859
06-Oct-23,27.9369,27.4103,28.2236,27.1957
05-Oct-23,27.4103,27.7835,28.0891,27.3717
04-Oct-23,27.7909,27.4287,27.8327,27.2425
03-Oct-23,27.4284,27.5016,27.6708,27.1941
02-Oct-23,27.5053,27.9746,28.5566,27.3252
01-Oct-23,27.9745,26.9625,28.0384,26.9557
30-Sep-23,26.9627,26.9081,27.0857,26.8875
29-Sep-23,26.9098,27.0226,27.2295,26.7288
28-Sep-23,27.0226,26.3682,27.2836,26.3394
27-Sep-23,26.3661,26.2189,26.8369,26.1091
26-Sep-23,26.2189,26.3031,26.3962,26.0934
25-Sep-23,26.3027,26.2516,26.4236,26.0136
24-Sep-23,26.2515,26.579,26.7276,26.1622
23-Sep-23,26.5792,26.5817,26.6362,26.5175
22-Sep-23,26.5819,26.5695,26.7364,26.4885
21-Sep-23,26.57,27.1252,27.1556,26.3823
20-Sep-23,27.125,27.2092,27.3786,26.8518
